# Результаты планирования роботов
# Makespan (общее время выполнения всех операций, мс):
16.74

# Робот R1, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R1 72
t=8.07ms   x=0.027   y=1.486   z=0.050
t=8.18ms   x=0.117   y=1.588   z=0.032
t=8.29ms   x=0.189   y=1.669   z=0.018
t=8.39ms   x=0.239   y=1.726   z=0.008
t=8.50ms   x=0.270   y=1.761   z=0.002
t=8.61ms   x=0.280   y=1.772   z=0.000
t=9.14ms   x=0.280   y=1.772   z=0.000
t=9.14ms   x=0.280   y=1.772   z=0.000
t=9.24ms   x=0.280   y=1.759   z=0.003
t=9.34ms   x=0.280   y=1.719   z=0.012
t=9.44ms   x=0.281   y=1.652   z=0.027
t=9.54ms   x=0.281   y=1.559   z=0.047
t=9.64ms   x=0.282   y=1.438   z=0.074
t=9.74ms   x=0.283   y=1.318   z=0.101
t=9.84ms   x=0.283   y=1.225   z=0.121
t=9.94ms   x=0.284   y=1.158   z=0.136
t=10.04ms   x=0.284   y=1.118   z=0.145
t=10.14ms   x=0.284   y=1.105   z=0.148
t=10.67ms   x=0.284   y=1.105   z=0.148

# Робот R6, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R6 72
t=0.00ms   x=1.592   y=1.460   z=0.000
t=0.07ms   x=1.598   y=1.463   z=0.000
t=0.15ms   x=1.617   y=1.473   z=0.000
t=0.22ms   x=1.648   y=1.489   z=0.000
t=0.29ms   x=1.692   y=1.511   z=0.000
t=0.37ms   x=1.748   y=1.539   z=0.000
t=0.44ms   x=1.803   y=1.567   z=0.000
t=0.52ms   x=1.847   y=1.589   z=0.000
t=0.59ms   x=1.878   y=1.605   z=0.000
t=0.66ms   x=1.897   y=1.615   z=0.000
t=0.74ms   x=1.903   y=1.618   z=0.000
t=1.55ms   x=1.903   y=1.618   z=0.000
t=1.55ms   x=1.903   y=1.618   z=0.000
t=1.62ms   x=1.902   y=1.623   z=0.004
t=1.69ms   x=1.898   y=1.637   z=0.016
t=1.76ms   x=1.891   y=1.660   z=0.035
t=1.83ms   x=1.882   y=1.693   z=0.063
t=1.89ms   x=1.871   y=1.736   z=0.098
t=1.96ms   x=1.859   y=1.778   z=0.134
t=2.03ms   x=1.850   y=1.811   z=0.162
t=2.10ms   x=1.843   y=1.834   z=0.181
t=2.17ms   x=1.839   y=1.848   z=0.193
t=2.24ms   x=1.838   y=1.853   z=0.197
t=3.05ms   x=1.838   y=1.853   z=0.197
t=3.05ms   x=1.838   y=1.853   z=0.197
t=3.13ms   x=1.843   y=1.850   z=0.193
t=3.20ms   x=1.859   y=1.840   z=0.181
t=3.28ms   x=1.885   y=1.825   z=0.161
t=3.35ms   x=1.922   y=1.803   z=0.134
t=3.43ms   x=1.968   y=1.774   z=0.099
t=3.50ms   x=2.014   y=1.746   z=0.063
t=3.58ms   x=2.051   y=1.724   z=0.036
t=3.65ms   x=2.077   y=1.709   z=0.016
t=3.73ms   x=2.093   y=1.699   z=0.004
t=3.80ms   x=2.098   y=1.696   z=0.000
t=4.80ms   x=2.098   y=1.696   z=0.000
t=4.80ms   x=2.098   y=1.696   z=0.000
t=4.92ms   x=2.083   y=1.704   z=0.007
t=5.04ms   x=2.038   y=1.729   z=0.028
t=5.16ms   x=1.963   y=1.770   z=0.063
t=5.28ms   x=1.876   y=1.819   z=0.104
t=5.40ms   x=1.788   y=1.867   z=0.144
t=5.52ms   x=1.701   y=1.915   z=0.185
t=5.64ms   x=1.614   y=1.964   z=0.226
t=5.76ms   x=1.539   y=2.005   z=0.261
t=5.88ms   x=1.494   y=2.030   z=0.282
t=6.00ms   x=1.479   y=2.038   z=0.289
t=7.00ms   x=1.479   y=2.038   z=0.289
t=7.00ms   x=1.479   y=2.038   z=0.289
t=7.14ms   x=1.485   y=2.016   z=0.281
t=7.27ms   x=1.503   y=1.951   z=0.259
t=7.41ms   x=1.531   y=1.846   z=0.222
t=7.55ms   x=1.562   y=1.735   z=0.183
t=7.68ms   x=1.593   y=1.623   z=0.144
t=7.82ms   x=1.623   y=1.511   z=0.106
t=7.95ms   x=1.654   y=1.400   z=0.067
t=8.09ms   x=1.682   y=1.295   z=0.030
t=8.22ms   x=1.700   y=1.230   z=0.008
t=8.36ms   x=1.706   y=1.208   z=0.000
t=8.91ms   x=1.706   y=1.208   z=0.000
t=8.91ms   x=1.706   y=1.208   z=0.000
t=9.01ms   x=1.701   y=1.221   z=0.004
t=9.12ms   x=1.687   y=1.259   z=0.014
t=9.22ms   x=1.662   y=1.323   z=0.032
t=9.33ms   x=1.631   y=1.407   z=0.055
t=9.43ms   x=1.599   y=1.492   z=0.079
t=9.54ms   x=1.566   y=1.577   z=0.103
t=9.64ms   x=1.535   y=1.661   z=0.126
t=9.75ms   x=1.510   y=1.725   z=0.144
t=9.85ms   x=1.496   y=1.763   z=0.154
t=9.96ms   x=1.491   y=1.776   z=0.158
t=10.51ms   x=1.491   y=1.776   z=0.158

# Робот R7, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R7 72
t=0.00ms   x=2.913   y=1.522   z=0.000
t=0.11ms   x=2.900   y=1.533   z=0.000
t=0.23ms   x=2.860   y=1.565   z=0.000
t=0.34ms   x=2.794   y=1.618   z=0.000
t=0.46ms   x=2.706   y=1.689   z=0.000
t=0.57ms   x=2.616   y=1.761   z=0.000
t=0.68ms   x=2.527   y=1.833   z=0.000
t=0.80ms   x=2.439   y=1.904   z=0.000
t=0.91ms   x=2.373   y=1.957   z=0.000
t=1.03ms   x=2.333   y=1.989   z=0.000
t=1.14ms   x=2.320   y=2.000   z=0.000
t=1.63ms   x=2.320   y=2.000   z=0.000
t=1.63ms   x=2.320   y=2.000   z=0.000
t=1.76ms   x=2.342   y=1.994   z=0.003
t=1.89ms   x=2.407   y=1.976   z=0.011
t=2.03ms   x=2.515   y=1.947   z=0.025
t=2.16ms   x=2.642   y=1.912   z=0.042
t=2.29ms   x=2.769   y=1.877   z=0.058
t=2.42ms   x=2.897   y=1.843   z=0.074
t=2.55ms   x=3.024   y=1.808   z=0.091
t=2.68ms   x=3.132   y=1.779   z=0.105
t=2.82ms   x=3.197   y=1.761   z=0.113
t=2.95ms   x=3.219   y=1.755   z=0.116
t=3.44ms   x=3.219   y=1.755   z=0.116
t=3.44ms   x=3.219   y=1.755   z=0.116
t=3.55ms   x=3.215   y=1.740   z=0.113
t=3.66ms   x=3.202   y=1.696   z=0.106
t=3.76ms   x=3.182   y=1.623   z=0.093
t=3.87ms   x=3.154   y=1.523   z=0.076
t=3.98ms   x=3.124   y=1.418   z=0.058
t=4.09ms   x=3.095   y=1.313   z=0.040
t=4.20ms   x=3.067   y=1.213   z=0.023
t=4.31ms   x=3.047   y=1.140   z=0.010
t=4.42ms   x=3.034   y=1.096   z=0.003
t=4.53ms   x=3.030   y=1.081   z=0.000
t=5.02ms   x=3.030   y=1.081   z=0.000
t=5.02ms   x=3.030   y=1.081   z=0.000
t=5.17ms   x=3.023   y=1.110   z=0.008
t=5.32ms   x=3.001   y=1.195   z=0.034
t=5.48ms   x=2.967   y=1.332   z=0.074
t=5.63ms   x=2.930   y=1.476   z=0.117
t=5.78ms   x=2.894   y=1.621   z=0.160
t=5.94ms   x=2.858   y=1.765   z=0.202
t=6.09ms   x=2.821   y=1.909   z=0.245
t=6.24ms   x=2.787   y=2.046   z=0.285
t=6.40ms   x=2.765   y=2.131   z=0.311
t=6.55ms   x=2.758   y=2.160   z=0.319
t=7.04ms   x=2.758   y=2.160   z=0.319
t=7.04ms   x=2.758   y=2.160   z=0.319
t=7.14ms   x=2.755   y=2.150   z=0.312
t=7.24ms   x=2.747   y=2.118   z=0.292
t=7.34ms   x=2.733   y=2.066   z=0.259
t=7.44ms   x=2.713   y=1.993   z=0.212
t=7.53ms   x=2.691   y=1.911   z=0.160
t=7.63ms   x=2.669   y=1.829   z=0.107
t=7.73ms   x=2.649   y=1.756   z=0.060
t=7.83ms   x=2.635   y=1.704   z=0.027
t=7.93ms   x=2.627   y=1.672   z=0.007
t=8.03ms   x=2.624   y=1.662   z=0.000
t=8.55ms   x=2.624   y=1.662   z=0.000
t=8.55ms   x=2.624   y=1.662   z=0.000
t=8.67ms   x=2.629   y=1.646   z=0.007
t=8.78ms   x=2.643   y=1.596   z=0.026
t=8.90ms   x=2.667   y=1.514   z=0.059
t=9.02ms   x=2.699   y=1.409   z=0.102
t=9.14ms   x=2.730   y=1.301   z=0.145
t=9.26ms   x=2.761   y=1.194   z=0.188
t=9.38ms   x=2.793   y=1.089   z=0.231
t=9.50ms   x=2.817   y=1.007   z=0.264
t=9.61ms   x=2.831   y=0.957   z=0.283
t=9.73ms   x=2.836   y=0.941   z=0.290
t=10.25ms   x=2.836   y=0.941   z=0.290

# Робот R8, количество точек маршрута = 96
# Формат: t (мс)   X   Y   Z
R8 96
t=0.00ms   x=4.619   y=1.626   z=0.000
t=0.17ms   x=4.632   y=1.607   z=0.000
t=0.34ms   x=4.670   y=1.549   z=0.000
t=0.51ms   x=4.733   y=1.452   z=0.000
t=0.68ms   x=4.822   y=1.317   z=0.000
t=0.85ms   x=4.936   y=1.143   z=0.000
t=1.03ms   x=5.051   y=0.968   z=0.000
t=1.20ms   x=5.141   y=0.832   z=0.000
t=1.37ms   x=5.205   y=0.734   z=0.000
t=1.54ms   x=5.244   y=0.675   z=0.000
t=1.71ms   x=5.257   y=0.654   z=0.000
t=2.17ms   x=5.253   y=0.661   z=0.000
t=2.17ms   x=5.253   y=0.661   z=0.000
t=2.30ms   x=5.253   y=0.647   z=0.001
t=2.44ms   x=5.254   y=0.604   z=0.006
t=2.57ms   x=5.255   y=0.533   z=0.013
t=2.71ms   x=5.257   y=0.433   z=0.023
t=2.84ms   x=5.258   y=0.305   z=0.036
t=2.98ms   x=5.261   y=0.137   z=0.053
t=3.11ms   x=5.263   y=-0.002   z=0.067
